scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,pass_name,low_name,target_name,success,alpha,attempts,return_status,failure_mode,low_tw_ratio,low_T_dot_max,low_T_dot_weight_per_sec,low_delta_max_deg,low_delta_dot_max_deg_s,target_tw_ratio,target_T_dot_max,target_T_dot_weight_per_sec,target_delta_max_deg,target_delta_dot_max_deg_s,feasible_tw_ratio,feasible_T_dot_max,feasible_T_dot_weight_per_sec,feasible_delta_max_deg,feasible_delta_dot_max_deg_s
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hf1,hu1,C0,True,0.03,4,Solve_Succeeded,none,1.1171875,2.4525,0.0625,2.578125,8.4375,2.0,39.24,1.0,59.99999999999999,180.0,1.143671875,3.556125,0.090625,4.30078125,13.584375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hf2,hu2,C0,True,0.01,2,Solve_Succeeded,none,1.143671875,3.5144516601562503,0.08956298828125,3.76318359375,8.277978515625,2.0,39.24,1.0,59.99999999999999,180.0,1.15223515625,3.871707143554688,0.0986673583984375,4.3255517578125,9.99519873046875
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hf3,hu3,C0,True,0.0,1,Solve_Succeeded,none,1.1477342376708983,3.690220871200562,0.09404232597351075,4.3255517578125,7.1840490875244125,2.0,39.24,1.0,59.99999999999999,180.0,1.1477342376708983,3.690220871200562,0.09404232597351075,4.3255517578125,7.1840490875244125
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hf1,hu1,C0,True,0.05,6,Solve_Succeeded,none,1.1171875,2.91234375,0.07421874999999999,2.8125,7.734374999999999,2.0,39.24,1.0,59.99999999999999,180.0,1.161328125,4.7287265625,0.1205078125,5.671875,16.34765625
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hf2,hu2,C0,True,0.06,7,Solve_Succeeded,none,1.1477188110351564,3.749732391357422,0.09555892944335936,4.78564453125,8.173828125,2.0,39.24,1.0,59.99999999999999,180.0,1.198855682373047,5.879148447875977,0.14982539367675782,8.098505859374999,18.4833984375
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hf3,hu3,C0,True,0.0,1,Solve_Succeeded,none,1.198855682373047,3.2151593074321747,0.08193576216697693,3.7961746215820305,8.952896118164062,2.0,39.24,1.0,59.99999999999999,180.0,1.198855682373047,3.2151593074321747,0.08193576216697693,3.7961746215820305,8.952896118164062
2,-0.09133256617257635,0.0,0.24736783977107143,0.20208665590703018,2.988942203015736,0.49473567954214287,0.04998973951828189,31.091539809883148,5.204241632035986,-48.192719528473475,58.443489813887865,-0.1885442433830078,-0.5848401490669741,76.3975248360931,-0.06001835950497834,hf1,hu1,C0,True,0.11,12,Solve_Succeeded,none,1.125,2.1459375,0.0546875,2.578125,9.140625,2.0,39.24,1.0,59.99999999999999,180.0,1.22125,6.2262843750000005,0.15867187500000002,8.89453125,27.935156250000002
2,-0.09133256617257635,0.0,0.24736783977107143,0.20208665590703018,2.988942203015736,0.49473567954214287,0.04998973951828189,31.091539809883148,5.204241632035986,-48.192719528473475,58.443489813887865,-0.1885442433830078,-0.5848401490669741,76.3975248360931,-0.06001835950497834,hf2,hu2,C0,True,0.02,3,Solve_Succeeded,none,1.173544921875,4.98589178466797,0.12706146240234378,7.504760742187501,19.205419921875,2.0,39.24,1.0,59.99999999999999,180.0,1.1900740234375,5.670973948974611,0.1445202331542969,8.55466552734375,22.421311523437502
2,-0.09133256617257635,0.0,0.24736783977107143,0.20208665590703018,2.988942203015736,0.49473567954214287,0.04998973951828189,31.091539809883148,5.204241632035986,-48.192719528473475,58.443489813887865,-0.1885442433830078,-0.5848401490669741,76.3975248360931,-0.06001835950497834,hf3,hu3,C0,True,0.01,2,Solve_Succeeded,none,1.13893803024292,4.629818575530054,0.11798722159862522,8.019998931884766,21.545479042053223,2.0,39.24,1.0,59.99999999999999,180.0,1.1475486499404908,4.975920389774753,0.12680734938263896,8.53979894256592,23.130024251632694
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,hf1,hu1,C0,True,0.0,1,Solve_Succeeded,none,1.5078125,5.3648437499999995,0.13671874999999997,8.671875,79.45312500000001,2.0,39.24,1.0,59.99999999999999,180.0,1.5078125,5.3648437499999995,0.13671874999999997,8.671875,79.45312500000001
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,hf2,hu2,C0,True,0.02,3,Solve_Succeeded,none,1.466583251953125,5.322930908203125,0.13565063476562497,6.23291015625,60.520935058593764,2.0,39.24,1.0,59.99999999999999,180.0,1.4772515869140626,6.001272290039062,0.15293762207031247,7.308251953125,62.91051635742189
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,hf3,hu3,C0,True,0.0,1,Solve_Succeeded,none,1.2925951385498047,5.649635241794586,0.1439764332771301,6.166337585449218,58.24137647151948,2.0,39.24,1.0,59.99999999999999,180.0,1.2925951385498047,5.649635241794586,0.1439764332771301,6.166337585449218,58.24137647151948
4,-1.407546496296182,0.0,0.3091793473080906,0.21647939437931996,2.5668611718126377,0.6183586946161812,0.06693095785984889,29.024403570577487,-1.3024998757330621,-29.397907801955018,43.18788200528692,-1.325091774932802,-1.852817048349408,76.66972919907704,-0.0954575853732279,hf1,hu1,C0,True,0.07,8,Solve_Succeeded,none,1.109375,1.839375,0.046875,2.3437499999999996,24.609375,2.0,39.24,1.0,59.99999999999999,180.0,1.17171875,4.45741875,0.11359375000000001,6.3796875,35.48671875
4,-1.407546496296182,0.0,0.3091793473080906,0.21647939437931996,2.5668611718126377,0.6183586946161812,0.06693095785984889,29.024403570577487,-1.3024998757330621,-29.397907801955018,43.18788200528692,-1.325091774932802,-1.852817048349408,76.66972919907704,-0.0954575853732279,hf2,hu2,C0,True,0.0,1,Solve_Succeeded,none,1.17171875,4.45741875,0.11359375000000001,6.3796875,10.812359619140626,2.0,39.24,1.0,59.99999999999999,180.0,1.17171875,4.45741875,0.11359375000000001,6.3796875,10.812359619140626
4,-1.407546496296182,0.0,0.3091793473080906,0.21647939437931996,2.5668611718126377,0.6183586946161812,0.06693095785984889,29.024403570577487,-1.3024998757330621,-29.397907801955018,43.18788200528692,-1.325091774932802,-1.852817048349408,76.66972919907704,-0.0954575853732279,hf3,hu3,C0,True,0.0,1,Solve_Succeeded,none,1.1534106445312498,2.106826831054688,0.05369079589843751,2.990478515625,8.447155952453615,2.0,39.24,1.0,59.99999999999999,180.0,1.1534106445312498,2.106826831054688,0.05369079589843751,2.990478515625,8.447155952453615
5,-1.2298564176730746,0.0,0.3805898376491126,0.25851912914273584,1.0133004724866397,0.7611796752982252,0.0983897533896238,24.304527591497724,0.09633961754371967,-39.96865674689909,40.33092359496089,0.5889611252332081,-1.4738405661797294,84.08580690707608,0.0399414267621499,hf1,hu1,C0,True,0.02,3,Solve_Succeeded,none,1.109375,2.6057812499999997,0.06640624999999999,2.109375,9.140625,2.0,39.24,1.0,59.99999999999999,180.0,1.1271875,3.3384656249999995,0.08507812499999999,3.2671874999999995,12.5578125
5,-1.2298564176730746,0.0,0.3805898376491126,0.25851912914273584,1.0133004724866397,0.7611796752982252,0.0983897533896238,24.304527591497724,0.09633961754371967,-39.96865674689909,40.33092359496089,0.5889611252332081,-1.4738405661797294,84.08580690707608,0.0399414267621499,hf2,hu2,C0,True,0.01,2,Solve_Succeeded,none,1.1271875,3.0254844726562498,0.07710205078124999,3.2671874999999995,10.0070068359375,2.0,39.24,1.0,59.99999999999999,180.0,1.135915625,3.3876296279296874,0.0863310302734375,3.8345156249999994,11.706936767578124
5,-1.2298564176730746,0.0,0.3805898376491126,0.25851912914273584,1.0133004724866397,0.7611796752982252,0.0983897533896238,24.304527591497724,0.09633961754371967,-39.96865674689909,40.33092359496089,0.5889611252332081,-1.4738405661797294,84.08580690707608,0.0399414267621499,hf3,hu3,C0,True,0.01,2,Solve_Succeeded,none,1.1314784545898438,3.0038747091407774,0.07655134325027464,3.5948583984374998,8.963123462677002,2.0,39.24,1.0,59.99999999999999,180.0,1.1401636700439453,3.3662359620493696,0.0857858298177719,4.158909814453125,10.67349222805023
6,-0.7023901156214413,0.0,0.442294094336931,0.3123876536741851,4.504353903384995,0.884588188673862,0.13816721436386256,20.113423924662655,1.2924206373377771,-41.51915493568634,44.528454664580565,-1.2108271135395021,-0.4240144879491643,82.19462955950937,-0.013581392044979254,hf1,hu1,C0,True,0.04,5,Solve_Succeeded,none,1.1015625,2.4525,0.0625,2.3437499999999996,9.140625,2.0,39.24,1.0,59.99999999999999,180.0,1.1375,3.9240000000000004,0.1,4.6499999999999995,15.975000000000001
6,-0.7023901156214413,0.0,0.442294094336931,0.3123876536741851,4.504353903384995,0.884588188673862,0.13816721436386256,20.113423924662655,1.2924206373377771,-41.51915493568634,44.528454664580565,-1.2108271135395021,-0.4240144879491643,82.19462955950937,-0.013581392044979254,hf2,hu2,C0,True,0.0,1,Solve_Succeeded,none,1.1375,3.8780156250000006,0.09882812500000002,3.7781249999999997,8.237109375000001,2.0,39.24,1.0,59.99999999999999,180.0,1.1375,3.8780156250000006,0.09882812500000002,3.7781249999999997,8.237109375000001
6,-0.7023901156214413,0.0,0.442294094336931,0.3123876536741851,4.504353903384995,0.884588188673862,0.13816721436386256,20.113423924662655,1.2924206373377771,-41.51915493568634,44.528454664580565,-1.2108271135395021,-0.4240144879491643,82.19462955950937,-0.013581392044979254,hf3,hu3,C0,True,0.0,1,Solve_Succeeded,none,1.1375,3.771976135253907,0.09612579345703127,3.3058593749999994,7.207470703125,2.0,39.24,1.0,59.99999999999999,180.0,1.1375,3.771976135253907,0.09612579345703127,3.3058593749999994,7.207470703125
7,0.3819265221073296,0.0,0.3460244922281839,0.2904739222643194,0.5305793178609056,0.6920489844563678,0.10051109145704007,21.63080684902979,-3.6876129781432496,-42.52577793488171,36.456496085166236,-0.01802754226644332,-1.7413192116345937,80.90915491481417,-0.0954392257940605,hf1,hu1,C0,True,0.05,6,Solve_Succeeded,none,1.1171875,2.6057812499999997,0.06640624999999999,2.109375,9.140625,2.0,39.24,1.0,59.99999999999999,180.0,1.161328125,4.4374921875,0.1130859375,5.00390625,17.68359375
7,0.3819265221073296,0.0,0.3460244922281839,0.2904739222643194,0.5305793178609056,0.6920489844563678,0.10051109145704007,21.63080684902979,-3.6876129781432496,-42.52577793488171,36.456496085166236,-0.01802754226644332,-1.7413192116345937,80.90915491481417,-0.0954392257940605,hf2,hu2,C0,True,0.01,2,Solve_Succeeded,none,1.143182373046875,4.16014892578125,0.10601806640625,5.00390625,9.11810302734375,2.0,39.24,1.0,59.99999999999999,180.0,1.1517505493164064,4.510947436523438,0.1149578857421875,5.5538671875,10.826921997070313
