scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,candidate_key,frequency_hz,order,success,return_status,remaining_l2_sq,remaining_l1,reduction_l1,reduction_l2_sq,remaining_tw,remaining_tdot,remaining_delta,remaining_delta_dot,reduction_tw,reduction_tdot,reduction_delta,reduction_delta_dot,refined_tw_ratio,refined_T_dot_max,refined_T_dot_weight_per_sec,refined_delta_max_deg,refined_delta_dot_max_deg_s,refined_minus_utopia_tw_ratio,refined_minus_utopia_T_dot_max,refined_minus_utopia_T_dot_weight_per_sec,refined_minus_utopia_delta_max_deg,refined_minus_utopia_delta_dot_max_deg_s
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta -> delta_dot -> tdot -> tw,True,Solve_Succeeded,1.2059640884399414,1.7060546875,2.2939453125,1.7938547134399414,0.99609375,0.3349609375,0.3125,0.0625,0.00390625,0.6650390625,0.6875,0.9375,1.1379087126899905,1.0532527442023185,0.026841303369070296,0.8906110562324522,0.41861237837612547,-0.002052542543297342,-1.9869859332043585,-0.05063674651387254,-1.959344323711395,-6.2510966909140375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta -> delta_dot -> tw -> tdot,True,Solve_Succeeded,1.5854797363281246,2.09375,1.9062500000000002,1.397979736328125,0.91796875,0.8007812499999998,0.3125,0.0625,0.08203125,0.19921875000000022,0.6875,0.9375,1.0486609705182266,2.517980321416621,0.06416871359369573,0.8906110562324522,0.41861237837612547,-0.09130028471506124,-0.522258355990056,-0.013309336289247093,-1.959344323711395,-6.2510966909140375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta -> tdot -> delta_dot -> tw,True,Solve_Succeeded,0.9582252502441408,1.408203125,2.591796875,2.1418190002441406,0.9140625000000001,0.025390624999999997,0.3125,0.15624999999999997,0.08593749999999989,0.974609375,0.6875,0.84375,1.0441985834096386,0.07983840043516116,0.002034617748092792,0.8906110562324522,1.0465309459403136,-0.09576267182364928,-2.960400276971516,-0.07544343213485004,-1.959344323711395,-5.623178123349849
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta -> tdot -> tw -> delta_dot,True,Solve_Succeeded,0.9891853332519533,1.498046875,2.501953125,1.9930915832519531,0.9101562500000001,0.025390624999999997,0.3125,0.25,0.08984374999999989,0.974609375,0.6875,0.75,1.0397361963010503,0.07983840043516116,0.002034617748092792,0.8906110562324522,1.6744495135045019,-0.10022505893223754,-2.960400276971516,-0.07544343213485004,-1.959344323711395,-4.995259555785661
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta -> tw -> delta_dot -> tdot,True,Solve_Succeeded,0.9390449523925781,1.447265625,2.552734375,2.044513702392578,0.90234375,0.10742187499999999,0.3125,0.125,0.09765625,0.892578125,0.6875,0.875,1.0308114220838738,0.3377778479949126,0.008607998165007966,0.8906110562324522,0.8372247567522509,-0.10914983314941407,-2.7024608294117645,-0.06887005171793487,-1.959344323711395,-5.832484312537912
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta -> tw -> tdot -> delta_dot,True,Solve_Succeeded,1.6251716613769531,2.095703125,1.904296875,1.4337654113769531,0.90234375,0.037109375,0.3125,0.84375,0.09765625,0.962890625,0.6875,0.15625,1.0308114220838738,0.11668689294369711,0.002973672093366389,0.8906110562324522,5.651267108077694,-0.10914983314941407,-2.9235517844629797,-0.07450437778957644,-1.959344323711395,-1.0184419612124682
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta_dot -> delta -> tdot -> tw,True,Solve_Succeeded,1.2059640884399414,1.7060546875,2.2939453125,1.7938547134399414,0.99609375,0.3349609375,0.3125,0.0625,0.00390625,0.6650390625,0.6875,0.9375,1.1379087126899905,1.0532527442023185,0.026841303369070296,0.8906110562324522,0.41861237837612547,-0.002052542543297342,-1.9869859332043585,-0.05063674651387254,-1.959344323711395,-6.2510966909140375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta_dot -> delta -> tw -> tdot,True,Solve_Succeeded,1.5854797363281246,2.09375,1.9062500000000002,1.397979736328125,0.91796875,0.8007812499999998,0.3125,0.0625,0.08203125,0.19921875000000022,0.6875,0.9375,1.0486609705182266,2.517980321416621,0.06416871359369573,0.8906110562324522,0.41861237837612547,-0.09130028471506124,-0.522258355990056,-0.013309336289247093,-1.959344323711395,-6.2510966909140375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta_dot -> tdot -> delta -> tw,True,Solve_Succeeded,1.2059640884399414,1.7060546875,2.2939453125,1.7938547134399414,0.99609375,0.3349609375,0.3125,0.0625,0.00390625,0.6650390625,0.6875,0.9375,1.1379087126899905,1.0532527442023185,0.026841303369070296,0.8906110562324522,0.41861237837612547,-0.002052542543297342,-1.9869859332043585,-0.05063674651387254,-1.959344323711395,-6.2510966909140375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f80_closest,80.0,delta_dot -> tdot -> tw -> delta,True,Solve_Succeeded,1.2334299087524414,1.7607421875,2.2392578125,1.7119455337524414,0.98828125,0.3349609375,0.375,0.0625,0.01171875,0.6650390625,0.625,0.9375,1.1289839384728142,1.0532527442023185,0.026841303369070296,1.0687332674789427,0.41861237837612547,-0.010977316760473643,-1.9869859332043585,-0.05063674651387254,-1.7812221124649044,-6.2510966909140375
