scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,C0_tw_ratio,C0_T_dot_max,C0_T_dot_weight_per_sec,C0_delta_max_deg,C0_delta_dot_max_deg_s,hu1_tw_ratio,hu1_T_dot_max,hu1_T_dot_weight_per_sec,hu1_delta_max_deg,hu1_delta_dot_max_deg_s,hf1_tw_ratio,hf1_T_dot_max,hf1_T_dot_weight_per_sec,hf1_delta_max_deg,hf1_delta_dot_max_deg_s,hu2_tw_ratio,hu2_T_dot_max,hu2_T_dot_weight_per_sec,hu2_delta_max_deg,hu2_delta_dot_max_deg_s,hf2_tw_ratio,hf2_T_dot_max,hf2_T_dot_weight_per_sec,hf2_delta_max_deg,hf2_delta_dot_max_deg_s,hu3_tw_ratio,hu3_T_dot_max,hu3_T_dot_weight_per_sec,hu3_delta_max_deg,hu3_delta_dot_max_deg_s,hf3_tw_ratio,hf3_T_dot_max,hf3_T_dot_weight_per_sec,hf3_delta_max_deg,hf3_delta_dot_max_deg_s,hu4_tw_ratio,hu4_T_dot_max,hu4_T_dot_weight_per_sec,hu4_delta_max_deg,hu4_delta_dot_max_deg_s,hf1_success,hf1_alpha,hf1_attempts,hf2_success,hf2_alpha,hf2_attempts,hf3_success,hf3_alpha,hf3_attempts,final_box_ready,method
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,2.0,39.24,1.0,59.99999999999999,180.0,1.1171875,2.29921875,0.05859375,2.109375,7.734374999999999,1.161328125,4.1462578125,0.10566406249999999,5.00390625,16.34765625,1.1341094970703125,2.947730163574219,0.07512054443359376,3.7529296874999996,9.45098876953125,1.1514273071289063,3.6735755603027345,0.09361813354492188,4.877871093749999,12.861968994140625,1.1379340183734894,2.927380524616242,0.07460195016860963,3.353536376953125,8.038730621337889,1.1637959978222847,4.016759108877755,0.10236389166355135,5.05293028564453,13.197568702697751,1.1319734510068318,2.949807470582101,0.07517348294042052,2.8422732856750486,11.547872614860532,True,0.05,6,True,0.02,3,True,0.03,4,True,recursive_C0_contraction_plus_dual_direction_final_search
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,2.0,39.24,1.0,59.99999999999999,180.0,1.4453125,24.984843749999996,0.6367187499999999,53.20312499999999,85.78124999999999,1.4453125,24.984843749999996,0.6367187499999999,53.20312499999999,85.78124999999999,1.16302490234375,8.19815185546875,0.20892333984374997,17.457275390624996,71.03759765625,1.16302490234375,8.19815185546875,0.20892333984374997,17.457275390624996,71.03759765625,1.1493957042694092,7.1733828735351555,0.18280792236328122,15.275115966796871,62.15789794921875,1.174913833141327,8.135381387329101,0.2073236846923828,16.616862487792964,65.69316101074219,1.1381977758556605,7.976487219607829,0.20327439397573469,10.385539054870605,64.66670536994934,True,0.0,1,True,0.0,1,True,0.03,4,True,recursive_C0_contraction_plus_dual_direction_final_search
2,-0.09133256617257635,0.0,0.24736783977107143,0.20208665590703018,2.988942203015736,0.49473567954214287,0.04998973951828189,31.091539809883148,5.204241632035986,-48.192719528473475,58.443489813887865,-0.1885442433830078,-0.5848401490669741,76.3975248360931,-0.06001835950497834,2.0,39.24,1.0,59.99999999999999,180.0,1.1328125,2.6057812499999997,0.06640624999999999,2.3437499999999996,7.734374999999999,1.210859375,5.9028609375,0.1504296875,7.532812499999999,23.23828125,1.1588302612304688,4.773016461181641,0.12163650512695312,7.297412109374999,20.69659423828125,1.1840653533935548,5.807025967346192,0.14798740997314452,8.878489746093749,25.475696411132812,1.1563138216733932,4.718208598468781,0.12023977060317993,7.4912257232665995,19.504830064773557,1.1731875452399254,5.408644426499405,0.13783497519111634,8.541401208801267,22.714733463478087,1.1731875452399254,5.070604149843192,0.12922028924167156,7.206807269926068,21.295062622010708,True,0.09,10,True,0.03,4,True,0.02,3,True,recursive_C0_contraction_plus_dual_direction_final_search
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,2.0,39.24,1.0,59.99999999999999,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,recursive_C0_contraction_plus_dual_direction_final_search
4,-1.407546496296182,0.0,0.3091793473080906,0.21647939437931996,2.5668611718126377,0.6183586946161812,0.06693095785984889,29.024403570577487,-1.3024998757330621,-29.397907801955018,43.18788200528692,-1.325091774932802,-1.852817048349408,76.66972919907704,-0.0954575853732279,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,1.22625,0.03125,7.968750000000001,8.4375,1.15390625,3.1269375000000004,0.07968750000000001,10.5703125,17.015625,1.15390625,2.9070747070312506,0.07408447265625001,4.789672851562501,5.051513671875,1.1708281249999999,3.6337332128906255,0.09260278320312501,5.89387939453125,8.5504833984375,1.1525339355468749,2.7962712614822394,0.07126073551177979,2.39438850402832,4.809646911621094,1.161008596191406,3.160708548867417,0.080548128156662,2.970444618988037,6.561550442504883,1.1337974572181702,3.012550335639257,0.07677243464931847,2.227833464241028,3.2807752212524415,True,0.05,6,True,0.02,3,True,0.01,2,True,recursive_C0_contraction_plus_dual_direction_final_search
5,-1.2298564176730746,0.0,0.3805898376491126,0.25851912914273584,1.0133004724866397,0.7611796752982252,0.0983897533896238,24.304527591497724,0.09633961754371967,-39.96865674689909,40.33092359496089,0.5889611252332081,-1.4738405661797294,84.08580690707608,0.0399414267621499,2.0,39.24,1.0,59.99999999999999,180.0,1.1171875,2.1459375,0.0546875,1.8749999999999998,8.4375,1.13484375,2.88781875,0.07359375,3.0375,11.86875,1.1304107666015624,2.3914749023437496,0.060944824218749985,2.6578125,8.901562499999999,1.1391066589355467,2.759960153320312,0.07033537597656249,3.231234375,10.612546875,1.1257577527761458,1.2074825670776366,0.03077172698974609,2.6253779296875,5.3062734375,1.1345001752483843,1.5878077414068603,0.04046400971984863,3.199124150390625,7.053210703125,1.1345001752483843,1.3707246517613911,0.034931820890963076,2.999178890991211,6.171559365234375,True,0.02,3,True,0.01,2,True,0.01,2,True,recursive_C0_contraction_plus_dual_direction_final_search
6,-0.7023901156214413,0.0,0.442294094336931,0.3123876536741851,4.504353903384995,0.884588188673862,0.13816721436386256,20.113423924662655,1.2924206373377771,-41.51915493568634,44.528454664580565,-1.2108271135395021,-0.4240144879491643,82.19462955950937,-0.013581392044979254,2.0,39.24,1.0,59.99999999999999,180.0,1.1015625,2.1459375,0.0546875,2.109375,8.4375,1.164453125,4.742521875,0.120859375,6.16171875,20.446875000000002,1.12806396484375,4.742521875,0.120859375,4.4287353515625,7.028613281250001,1.1367833251953126,5.087496656250001,0.12965078125,4.984447998046875,8.758327148437502,1.1145805258750916,3.2393045115966803,0.08255108337402345,3.2710439987182616,7.937233978271486,1.1322889153575897,3.9593184213647468,0.10090006170654298,4.405623118743897,11.378489298706057,1.127865911781974,3.5726662317783457,0.0910465400555134,3.5795687839794157,7.467133602275849,True,0.07,8,True,0.01,2,True,0.02,3,True,recursive_C0_contraction_plus_dual_direction_final_search
7,0.3819265221073296,0.0,0.3460244922281839,0.2904739222643194,0.5305793178609056,0.6920489844563678,0.10051109145704007,21.63080684902979,-3.6876129781432496,-42.52577793488171,36.456496085166236,-0.01802754226644332,-1.7413192116345937,80.90915491481417,-0.0954392257940605,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,0.3065625,0.0078125,1.8749999999999998,9.140625,1.17171875,3.031903125000001,0.07726562500000002,5.9437500000000005,21.10078125,1.1305255126953124,2.2739273437500005,0.05794921875000001,5.758007812500001,18.792883300781252,1.1392202575683592,2.6435880703125005,0.06736972656250001,6.300427734375001,20.40495446777344,1.1392202575683592,1.9723645368347174,0.05026413192749025,6.300427734375001,20.40495446777344,1.1392202575683592,1.9723645368347174,0.05026413192749025,6.300427734375001,20.40495446777344,1.1303200993061062,1.7258189697303776,0.04398111543655396,5.512874267578126,10.20247723388672,True,0.07,8,True,0.01,2,True,0.0,1,True,recursive_C0_contraction_plus_dual_direction_final_search
8,1.3756776397243362,0.0,0.32057585923572507,0.3130649886325486,0.5198079199756344,0.6411517184714501,0.10036107772750177,20.06990732059886,1.575830416911261,-40.400250074855194,52.17474480240823,1.3134793649249485,-1.1850254795350268,83.96160771839767,-0.07195018220027785,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,2.1459375,0.0546875,1.640625,8.4375,1.1628125,4.37158125,0.11140625,5.142187499999999,18.73125,1.131016845703125,3.1079210449218753,0.079202880859375,2.5710937499999993,10.389990234374999,1.1657761718750002,4.553204203125,0.11603476562500001,4.868249999999999,17.174390624999997,1.1293456665039063,3.0058262122192385,0.0766010757446289,3.6511875,9.660594726562499,1.1467587531738281,3.7305096879748536,0.09506905422973633,4.778163749999999,13.06738283203125,1.1377997004146576,3.2350513700406935,0.08244269546484947,4.1808932812499995,10.004714980773926,True,0.06,7,True,0.04,5,True,0.02,3,True,recursive_C0_contraction_plus_dual_direction_final_search
9,0.16210843061714808,0.0,0.2271439352838609,0.29428081581676796,1.767043978499777,0.4542878705677218,0.06684410258316573,21.350985077776087,8.656189522201727,-35.21732095924295,60.44481150004089,0.8059424757529712,-2.2521958243014377,78.17138892822716,0.09057987901394901,2.0,39.24,1.0,59.99999999999999,180.0,1.234375,3.83203125,0.09765625,2.578125,4.21875,1.30328125,7.0187484375,0.1788671875,7.746093749999999,20.039062499999996,1.2981903076171875,6.0591539245605475,0.15441268920898438,6.777832031249999,6.575317382812498,1.3332807922363281,7.71819622833252,0.19669205474853516,9.438940429687499,15.246551513671873,1.2707832551002503,7.145361352010966,0.1820938163101673,3.982052993774414,3.8116378784179683,1.2707832551002503,7.145361352010966,0.1820938163101673,3.982052993774414,3.8116378784179683,1.2658192580100147,6.838334106416744,0.1742694726405898,3.235418057441711,3.8116378784179683,True,0.09,10,True,0.05,6,True,0.0,1,True,recursive_C0_contraction_plus_dual_direction_final_search
