completion_variant,scenario,frequency_hz,metric,value,same_frequency_other_mean,same_frequency_other_std,percentile_vs_other_scenarios,z_vs_other_scenarios
c0x09,s01,80,Tw,1.3836498413801193,1.1712339402703167,0.05997694429486814,100.0,3.5416259298821546
c0x09,s01,80,Tdot,0.32757873493194584,0.0960346554611042,0.05921026801213493,100.0,3.9105392906410676
c0x09,s01,80,delta,9.300405514526366,3.67406301465648,2.052588642904724,94.11764705882354,2.741095990820527
c0x09,s01,80,delta_dot,59.433350240478504,9.374307872155123,5.916436544349913,100.0,8.461012299055051
c0x09,s03,40,Tw,1.180565859375,1.1669159647850784,0.06662321922384139,82.3529411764706,0.20488194279625604
c0x09,s03,40,Tdot,0.30740240494656873,0.09377596786236667,0.041116975334787954,100.0,5.195577625659117
c0x09,s03,40,delta,6.739929917907715,4.845738502651842,2.797592329907697,76.47058823529412,0.6770791423060449
c0x09,s03,40,delta_dot,49.92633698445881,12.203507905862594,9.844378810698728,100.0,3.8319156346969896
c0x09,s19,40,Tw,1.2880418510742189,1.1669159647850784,0.06662321922384139,94.11764705882354,1.818073153778121
c0x09,s19,40,Tdot,0.231679893548584,0.09377596786236667,0.041116975334787954,100.0,3.353941396791913
c0x09,s19,40,delta,5.399959341796875,4.845738502651842,2.797592329907697,70.58823529411765,0.19810636211006455
c0x09,s19,40,delta_dot,34.969898697143556,12.203507905862594,9.844378810698728,94.11764705882354,2.3126284785525297
