completion_variant,scenario,frequency_hz,metric,value,same_frequency_other_mean,same_frequency_other_std,percentile_vs_other_scenarios,z_vs_other_scenarios
c0x11,s01,80,Tw,1.1558642509460448,1.1712339402703167,0.05997694429486814,64.70588235294117,-0.25625995963897313
c0x11,s01,80,Tdot,0.8764498769760132,0.0960346554611042,0.05921026801213493,100.0,13.180403462368481
c0x11,s01,80,delta,4.897625856399536,3.67406301465648,2.052588642904724,82.3529411764706,0.5961071868796511
c0x11,s01,80,delta_dot,74.87992858886717,9.374307872155123,5.916436544349913,100.0,11.071803141245333
c0x11,s03,40,Tw,1.2163290996551515,1.1669159647850784,0.06662321922384139,82.3529411764706,0.7416803847927893
c0x11,s03,40,Tdot,0.2315438232421875,0.09377596786236667,0.041116975334787954,100.0,3.350632050584207
c0x11,s03,40,delta,8.66274169921875,4.845738502651842,2.797592329907697,88.23529411764706,1.3643886408184585
c0x11,s03,40,delta_dot,69.73223090171813,12.203507905862594,9.844378810698728,100.0,5.843814434825908
c0x11,s19,40,Tw,1.5619140625,1.1669159647850784,0.06662321922384139,100.0,5.928835356751569
c0x11,s19,40,Tdot,0.14287109375,0.09377596786236667,0.041116975334787954,88.23529411764706,1.1940354437038392
c0x11,s19,40,delta,2.7018750000000002,4.845738502651842,2.797592329907697,11.764705882352942,-0.7663244854272873
c0x11,s19,40,delta_dot,28.779609374999996,12.203507905862594,9.844378810698728,88.23529411764706,1.6838138584349005
