family,method,Frequency,Rank,Score,ranking
weight_method,scenario_median_k,80,1.0,0.9287842101314162,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,scenario_median_k,20,2.0,0.969431658011816,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,scenario_median_k,15,3.0,0.9726680702961661,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,scenario_median_k,40,4.0,0.9845799398927295,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,scenario_median_k,10,5.0,0.9848164519394912,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,scenario_median_k,5,6.0,1.177597949124163,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
weight_method,scenario_mean_k,80,1.0,0.9047263549219865,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_mean_k,15,2.0,0.9613850053546283,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_mean_k,20,3.0,0.9624069932696491,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_mean_k,10,4.0,0.9735724022027868,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_mean_k,40,5.0,0.9751253009629989,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_mean_k,5,6.0,1.2583398913846684,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_trimmed_k,80,1.0,0.9108190362182219,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
weight_method,scenario_trimmed_k,15,2.0,0.9638328449441844,80 Hz > 15 Hz > 20 Hz > 10 Hz > 40 Hz > 5 Hz
