completion_variant,metric,kappa,weight
c0x09,Tw,0.89453125,0.6595265952659527
c0x09,Tdot,0.1024169921875,0.07551075510755108
c0x09,delta,0.234375,0.17280172801728017
c0x09,delta_dot,0.125,0.09216092160921609
c0x11,Tw,0.89453125,0.6604776926543489
c0x11,Tdot,0.1024169921875,0.07561964849031096
c0x11,delta,0.234375,0.17305092383956738
c0x11,delta_dot,0.123046875,0.09085173501577287
