scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,candidate_key,frequency_hz,shortlist_tag,subset,cardinality,best_permutation,sat_penalty_start_ratio,ocp_floor_source,score_weight_tw,score_weight_tdot,score_weight_delta,score_weight_delta_dot,utopia_tw_ratio,utopia_T_dot_max,utopia_T_dot_weight_per_sec,utopia_delta_max_deg,utopia_delta_dot_max_deg_s,search_floor_tw_ratio,search_floor_T_dot_max,search_floor_T_dot_weight_per_sec,search_floor_delta_max_deg,search_floor_delta_dot_max_deg_s,floor_utopia_tw_ratio,floor_utopia_T_dot_max,floor_utopia_T_dot_weight_per_sec,floor_utopia_delta_max_deg,floor_utopia_delta_dot_max_deg_s,candidate_tw_ratio,candidate_T_dot_max,candidate_T_dot_weight_per_sec,candidate_delta_max_deg,candidate_delta_dot_max_deg_s,cap_tw_ratio,cap_T_dot_max,cap_T_dot_weight_per_sec,cap_delta_max_deg,cap_delta_dot_max_deg_s,mpc_rollout_success,mpc_rollout_source,mpc_failure_mode,mpc_return_status,mpc_touch_time_s,mpc_steps_simulated,ocp_start_success,ocp_start_return_status,ocp_refine_success,failed_stage,best_order,remaining_l2_sq,remaining_l1,reduction_l1,reduction_l2_sq,remaining_tw,remaining_tdot,remaining_delta,remaining_delta_dot,reduction_tw,reduction_tdot,reduction_delta,reduction_delta_dot,final_rel_x,final_rel_z,final_rel_vx,final_rel_vz,usage_T,usage_T_dot,usage_delta,usage_delta_dot,mpc_npz,best_ocp_npz,refined_tw_ratio,refined_T_dot_max,refined_T_dot_weight_per_sec,refined_delta_max_deg,refined_delta_dot_max_deg_s,refined_minus_utopia_tw_ratio,refined_minus_utopia_T_dot_max,refined_minus_utopia_T_dot_weight_per_sec,refined_minus_utopia_delta_max_deg,refined_minus_utopia_delta_dot_max_deg_s
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,s0_f20_closest,20.0,closest,tw+tdot+delta,3,delta -> tdot -> tw,0.0,zero,1.0,1.0,1.0,1.0,1.1370260694386856,3.1116405916179124,0.07929767053052783,3.5945958538055423,8.440631981735228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1420820153996283,3.385152895074443,0.08626791271851282,3.5945958538055423,8.440631981735228,1.1505085920011995,3.7050232160659795,0.09441955188751222,5.751353366088868,11.49362652832031,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,24.5,490,True,Solve_Succeeded,True,,delta -> tdot -> delta_dot -> tw,0.9069709777832029,1.306640625,2.693359375,2.293689727783203,0.9101562499999999,0.021484375000000003,0.25,0.125,0.08984375000000011,0.978515625,0.75,0.875,-0.9999999995166107,-8.613660590350847e-09,0.34070339478485256,-0.7130225322898616,1.0000000091290766,1.000000117371901,1.0000006305082334,1.0000005131199283,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s0_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s0_f20_closest_ocp_best.npz,1.0394730843285678,0.072727894230115,0.0018534121873117991,0.8986489634513856,1.0550789977169035,-0.09755298511011778,-3.0389126973877976,-0.07744425834321604,-2.695946890354157,-7.385552984018323
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,s1_f20_closest,20.0,closest,delta+delta_dot,2,delta -> delta_dot,0.0,zero,1.0,1.0,1.0,1.0,1.1627527712488175,3.932633497584523,0.10022001777738335,5.266623266487121,55.144720560110365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1627527712488175,3.932633497584523,0.10022001777738335,5.271932362521887,55.26729642955622,1.1627527712488175,3.995056251514436,0.10181081171035769,5.436514339599609,59.06714838237763,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,24.0,480,True,Solve_Succeeded,True,,delta -> tdot -> tw -> delta_dot,0.8121728897094724,1.0888671875,2.9111328125,2.6344385147094727,0.8906249999999999,0.0185546875,0.125,0.0546875,0.10937500000000011,0.9814453125,0.875,0.9453125,-0.9999999999695,-9.265319789175663e-09,0.2805605041537662,-0.7607273436809908,1.0000000096895851,1.0000001259750677,1.0000008666304143,1.0000001871765671,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s1_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s1_f20_closest_ocp_best.npz,1.035576686893478,0.07296878559971283,0.0018595511111037927,0.6589915453152358,3.0224302734913557,-0.12717608435533956,-3.85966471198481,-0.09836046666627957,-4.607631721171885,-52.12229028661901
2,-0.09133256617257635,0.0,0.24736783977107143,0.20208665590703018,2.988942203015736,0.49473567954214287,0.04998973951828189,31.091539809883148,5.204241632035986,-48.192719528473475,58.443489813887865,-0.1885442433830078,-0.5848401490669741,76.3975248360931,-0.06001835950497834,s2_f20_closest,20.0,closest,tw+tdot+delta+delta_dot,4,delta -> tw -> tdot -> delta_dot,0.0,zero,1.0,1.0,1.0,1.0,1.1421848198502216,5.229462269070661,0.13326866129130124,7.819383135337827,21.671754288089275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1421848198502216,5.229462269070661,0.13326866129130124,8.061557110790535,22.157792419685023,1.1649375055046085,5.464254452579956,0.1392521522064209,8.936437868957517,23.913659904098512,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,21.950000000000003,439,True,Solve_Succeeded,True,,delta_dot -> tdot -> tw -> delta,0.911712646484375,1.2109375,2.7890625,2.489837646484375,0.93359375,0.06640625,0.1875,0.0234375,0.06640625,0.93359375,0.8125,0.9765625,0.9999999961458559,-5.282458609423557e-09,-0.3367400815488601,-0.07666754091338518,1.0000000099943391,1.0000000166536376,1.0000003788551821,1.0000011032262208,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s2_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s2_f20_closest_ocp_best.npz,1.0663366091570428,0.3472689788054736,0.008849872038875474,1.5115419582732255,0.5193232598363677,-0.07584821069317882,-4.882193290265187,-0.12441878925242576,-6.307841177064602,-21.152431028252906
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,s3_f20_closest,20.0,closest,delta_dot,1,delta_dot,0.0,zero,1.0,1.0,1.0,1.0,1.2385123681370174,6.052951077743769,0.15425461462140083,6.124467773437501,14.603056526184083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2385123681370174,6.052951077743769,0.15425461462140083,6.124467773437501,14.855676365643742,1.2433692793846134,6.2990059996032715,0.16052512741088867,6.322031249999999,16.689207458496092,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,19.400000000000002,388,True,Solve_Succeeded,True,,tw -> delta -> tdot -> delta_dot,0.8369600772857666,1.44091796875,2.55908203125,1.9551241397857666,0.83203125,0.09326171875,0.21875,0.296875,0.16796875,0.90673828125,0.78125,0.703125,-0.999999999927919,-9.290800351280382e-09,-0.9999995379733275,-0.48097216469298903,1.000000009914374,1.0000000151841797,1.0000004269155136,1.0000001235913403,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s3_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s3_f20_closest_ocp_best.npz,1.0304809938015027,0.5645086210200487,0.01438605048471072,1.339727325439453,4.410278921050486,-0.20803137433551466,-5.48844245672372,-0.1398685641366901,-4.784740447998047,-10.192777605133596
4,-1.407546496296182,0.0,0.3091793473080906,0.21647939437931996,2.5668611718126377,0.6183586946161812,0.06693095785984889,29.024403570577487,-1.3024998757330621,-29.397907801955018,43.18788200528692,-1.325091774932802,-1.852817048349408,76.66972919907704,-0.0954575853732279,s4_f20_closest,20.0,closest,tw,1,tw,0.0,zero,1.0,1.0,1.0,1.0,1.1648333584480286,3.995015360298157,0.10180976963043213,3.2106418272399906,34.30480057016014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1648333584480286,3.995015360298157,0.10180976963043213,3.2106418272399906,34.30480057016014,1.1648333584480286,3.995015360298157,0.10180976963043213,4.2808557696533205,39.918313390731804,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,17.400000000000002,348,True,Solve_Succeeded,True,,tw -> tdot -> delta -> delta_dot,0.7902383804321291,1.1181640625000002,2.8818359375,2.553910255432129,0.8671875000000001,0.008789062500000002,0.18750000000000003,0.0546875,0.1328124999999999,0.9912109375,0.8125,0.9453125,-0.4921149028459091,-9.763844736193628e-09,-0.9999999997386446,-1.9638833398161697,1.000000009912886,1.000000277431057,1.000000951114901,1.000000304834792,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s4_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s4_f20_closest_ocp_best.npz,1.0101289280291499,0.035112439690120525,0.00089481242839247,0.6019953426074983,1.8760437811806328,-0.1547044304188787,-3.9599029206080365,-0.10091495720203966,-2.6086464846324926,-32.428756788979506
5,-1.2298564176730746,0.0,0.3805898376491126,0.25851912914273584,1.0133004724866397,0.7611796752982252,0.0983897533896238,24.304527591497724,0.09633961754371967,-39.96865674689909,40.33092359496089,0.5889611252332081,-1.4738405661797294,84.08580690707608,0.0399414267621499,s5_f20_closest,20.0,closest,tw+delta+delta_dot,3,tw -> delta_dot -> delta -> tdot,0.0,zero,1.0,1.0,1.0,1.0,1.1473677068948747,2.0848740574729447,0.05313134703040124,2.470862856674194,8.159683413147928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1473677068948747,2.0848740574729447,0.05313134703040124,2.681969227147446,8.159683413147928,1.1749045318603515,4.4477313226089485,0.11334687366485598,5.647686529541016,17.407324614715577,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,18.900000000000002,378,True,Solve_Succeeded,True,,delta -> tw -> tdot -> delta_dot,0.7774543762207029,0.9824218749999999,3.017578125,2.812610626220703,0.8789062499999999,0.009765625,0.0625,0.03125,0.12109375000000011,0.990234375,0.9375,0.96875,0.26993523558508414,-9.573367987236736e-09,-0.1828477598891558,-1.9898498443828734,1.0000000096563584,1.0000004482796077,1.0000034165478846,1.0000022459655025,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s5_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s5_f20_closest_ocp_best.npz,1.0084286486380734,0.020360098217509226,0.0005188608108437621,0.16762307669671536,0.25499010666087274,-0.1389390582568013,-2.0645139592554353,-0.052612486219557476,-2.3032397799774786,-7.904693306487055
6,-0.7023901156214413,0.0,0.442294094336931,0.3123876536741851,4.504353903384995,0.884588188673862,0.13816721436386256,20.113423924662655,1.2924206373377771,-41.51915493568634,44.528454664580565,-1.2108271135395021,-0.4240144879491643,82.19462955950937,-0.013581392044979254,s6_f20_closest,20.0,closest,tw+delta+delta_dot,3,delta -> delta_dot -> tw -> tdot,0.0,zero,1.0,1.0,1.0,1.0,1.1327988451719282,3.276272361829877,0.08349317945539951,2.723860931396484,6.7229779243469245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1343493357172698,3.276272361829877,0.08349317945539951,2.852096083480865,7.115356487513055,1.141718521118164,3.8123896574020386,0.09715569972991943,3.631814575195312,10.006292724609375,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,18.95,379,True,Solve_Succeeded,True,,delta -> tdot -> tw -> delta_dot,0.8328247070312498,1.2109375,2.7890625,2.41094970703125,0.8906249999999999,0.1640625,0.0625,0.09375000000000001,0.10937500000000011,0.8359375,0.9375,0.90625,0.9999996041303447,-9.645110099487653e-09,0.08769685992500886,-1.9943875671909668,1.000000009873437,1.0000000144576322,1.0000032128851617,1.0000008577535306,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s6_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s6_f20_closest_ocp_best.npz,1.0102798771231933,0.5375134343627141,0.01369809975440148,0.17825600521755405,0.6670646707043489,-0.12251896804873486,-2.7387589274671624,-0.06979507970099802,-2.54560492617893,-6.055913253642576
7,0.3819265221073296,0.0,0.3460244922281839,0.2904739222643194,0.5305793178609056,0.6920489844563678,0.10051109145704007,21.63080684902979,-3.6876129781432496,-42.52577793488171,36.456496085166236,-0.01802754226644332,-1.7413192116345937,80.90915491481417,-0.0954392257940605,s7_f20_closest,20.0,closest,tw+tdot+delta_dot,3,delta_dot -> tw -> tdot,0.0,zero,1.0,1.0,1.0,1.0,1.138835785205841,1.2374268764935579,0.03153483375365845,2.2476678199768063,8.931323669729231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410953800177575,1.2374268764935579,0.03153483375365845,2.2476678199768063,8.931323669729231,1.156912543701172,1.3480054484355353,0.034352840174198145,4.495335639953613,9.855253704528808,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,20.8,416,True,Solve_Succeeded,True,,delta -> tw -> tdot -> delta_dot,0.8939361572265625,1.39453125,2.60546875,2.1048736572265625,0.89453125,0.125,0.25,0.125,0.10546875,0.875,0.75,0.875,-0.9999999999481961,-9.122771774117133e-09,-0.791374968586312,-0.31920615859761137,1.0000000098897592,1.0000000603363093,1.0000010167236093,1.0000004974188863,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s7_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s7_f20_closest_ocp_best.npz,1.0207454766565096,0.15467835956169473,0.003941854219207307,0.5619169549942016,1.1164154587161539,-0.11809030854933145,-1.0827485169318631,-0.02759297953445115,-1.6857508649826047,-7.814908211013077
8,1.3756776397243362,0.0,0.32057585923572507,0.3130649886325486,0.5198079199756344,0.6411517184714501,0.10036107772750177,20.06990732059886,1.575830416911261,-40.400250074855194,52.17474480240823,1.3134793649249485,-1.1850254795350268,83.96160771839767,-0.07195018220027785,s8_f20_closest,20.0,closest,tw,1,tw -> tdot -> delta -> delta_dot,0.0,zero,1.0,1.0,1.0,1.0,1.1400318359375001,3.6548351130992165,0.09314054824411866,2.3778046875000003,6.535561157226564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1400318359375001,3.7885919259188894,0.09654923358610829,2.3778046875000003,6.535561157226564,1.15355,4.15839017312622,0.10597324600219724,3.458625,10.201851562500003,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,20.35,407,True,Solve_Succeeded,True,,delta_dot -> tdot -> tw -> delta,0.8098459243774414,1.0927734375,2.9072265625,2.6242990493774414,0.890625,0.1083984375,0.0625,0.03125,0.109375,0.8916015625,0.9375,0.96875,0.9485229466764231,-9.65955698761789e-09,0.4659278005471148,-1.9004609656769393,1.0000000098769117,1.000000022344164,1.0000038542860132,1.0000028018960527,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s8_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s8_f20_closest_ocp_best.npz,1.015340853881836,0.41067744509472337,0.01046578606255666,0.14861279296875002,0.20423628616333012,-0.12469098205566409,-3.244157668004493,-0.082674762181562,-2.2291918945312506,-6.331324871063234
9,0.16210843061714808,0.0,0.2271439352838609,0.29428081581676796,1.767043978499777,0.4542878705677218,0.06684410258316573,21.350985077776087,8.656189522201727,-35.21732095924295,60.44481150004089,0.8059424757529712,-2.2521958243014377,78.17138892822716,0.09057987901394901,s9_f20_closest,20.0,closest,tdot+delta+delta_dot,3,tdot -> delta -> delta_dot,0.0,zero,1.0,1.0,1.0,1.0,1.249874641143799,7.740268327672533,0.197254544538036,3.6414388177871695,4.310532875061035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249874641143799,8.052701033607232,0.20521664203892026,3.746480322146415,4.849349484443665,1.2646952890625,10.320357770230045,0.26300605938404803,4.481770852661132,8.62106575012207,True,main4_saved_mpc_path,none,loaded_from_main4_saved_mpc_path:Solve_Succeeded,21.6,432,True,Solve_Succeeded,True,,tw -> delta_dot -> delta -> tdot,1.9681701660156252,2.7109375,1.2890625,0.546295166015625,0.9257812500000001,0.59765625,0.75,0.4375,0.07421874999999989,0.40234375,0.25,0.5625,0.9999999999905862,-6.130951524241368e-09,0.9999988621578892,-1.0508347475293436,1.0000000090076848,1.0000000050973874,1.0000002033700335,1.0000002698153632,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s9_f20_closest_mpc_rollout.npz,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/npz/s9_f20_closest_ocp_best.npz,1.1571105076214079,4.8127471021168216,0.12264900871857343,2.8098602416098113,2.1215903994441034,-0.09276413352239121,-2.9275212255557115,-0.07460553581946257,-0.8315785761773582,-2.188942475616932
