scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,pass_name,metric,support_name,upper_name,success,low_value,high_value,iterations,support_tw_ratio,support_T_dot_max,support_T_dot_weight_per_sec,support_delta_max_deg,support_delta_dot_max_deg_s,upper_tw_ratio,upper_T_dot_max,upper_T_dot_weight_per_sec,upper_delta_max_deg,upper_delta_dot_max_deg_s,single_tw_ratio,single_T_dot_max,single_T_dot_weight_per_sec,single_delta_max_deg,single_delta_dot_max_deg_s,utopia_vector_tw_ratio,utopia_vector_T_dot_max,utopia_vector_T_dot_weight_per_sec,utopia_vector_delta_max_deg,utopia_vector_delta_dot_max_deg_s
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu1,delta,C0,C0,True,0.04090615434361709,0.044996769777978805,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,2.578125,180.0,1.1171875,2.91234375,0.07421874999999999,2.578125,8.4375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu1,delta_dot,C0,C0,True,0.1349903093339364,0.14726215563702155,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,8.4375,1.1171875,2.91234375,0.07421874999999999,2.578125,8.4375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu1,tdot,C0,C0,True,2.7590624999999998,2.91234375,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,2.0,2.91234375,0.07421874999999999,59.99999999999999,180.0,1.1171875,2.91234375,0.07421874999999999,2.578125,8.4375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu1,tw,C0,C0,True,1.109375,1.1171875,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,1.1171875,39.24,1.0,59.99999999999999,180.0,1.1171875,2.91234375,0.07421874999999999,2.578125,8.4375
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu2,delta,hf1,hf1,True,0.07710810093771824,0.07976700097005335,5,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.5703125,15.299999999999999,1.1525,4.331344921875001,0.11038085937500001,4.5703125,9.8015625
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu2,delta_dot,hf1,hf1,True,0.16689710972195776,0.1710695374650067,6,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.875,9.8015625,1.1525,4.331344921875001,0.11038085937500001,4.5703125,9.8015625
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu2,tdot,hf1,hf1,True,4.314292382812501,4.331344921875001,8,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.331344921875001,0.11038085937500001,4.875,15.299999999999999,1.1525,4.331344921875001,0.11038085937500001,4.5703125,9.8015625
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu2,tw,hf1,hf1,True,1.1479980468750002,1.1525,8,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.36545,0.11125,4.875,15.299999999999999,1.1525,4.331344921875001,0.11038085937500001,4.5703125,9.8015625
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu3,delta,hf2,hf2,True,0.061490898199719174,0.06428593902697913,5,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,4.680431472656251,0.11927705078125,3.68331298828125,11.503546875,1.13829970703125,3.5286065399322517,0.08992371406555177,3.68331298828125,8.447917236328125
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu3,delta_dot,hf2,hf2,True,0.14430686495012046,0.1474439707099057,6,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,4.680431472656251,0.11927705078125,5.124609375,8.447917236328125,1.13829970703125,3.5286065399322517,0.08992371406555177,3.68331298828125,8.447917236328125
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu3,tdot,hf2,hf2,True,3.510323604492188,3.5286065399322517,8,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,3.5286065399322517,0.08992371406555177,5.124609375,11.503546875,1.13829970703125,3.5286065399322517,0.08992371406555177,3.68331298828125,8.447917236328125
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu3,tw,hf2,hf2,True,1.1337646484375,1.13829970703125,8,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.160975,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.13829970703125,4.680431472656251,0.11927705078125,5.124609375,11.503546875,1.13829970703125,3.5286065399322517,0.08992371406555177,3.68331298828125,8.447917236328125
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu4,delta,hf3,hf3,True,0.06485067325509089,0.0694828642018831,4,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,3.9810748672485348,10.163438063964843,1.1469167099609374,3.5517913712527553,0.09051456093916298,3.9810748672485348,8.257793426971435
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu4,delta_dot,hf3,hf3,True,0.1413540364761552,0.14412568425019745,6,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,8.257793426971435,1.1469167099609374,3.5517913712527553,0.09051456093916298,3.9810748672485348,8.257793426971435
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu4,tdot,hf3,hf3,True,3.536612775649111,3.5517913712527553,8,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.5517913712527553,0.09051456093916298,4.246479858398438,10.163438063964843,1.1469167099609374,3.5517913712527553,0.09051456093916298,3.9810748672485348,8.257793426971435
0,0.82186814566789,0.0,0.30971960993801306,0.32596164638493497,4.381692553882582,0.6194392198760261,0.10095671397309461,19.27584234790507,-3.950181877191266,-52.17467956337052,69.14678230728646,0.7834191059710589,-0.6920520978630065,77.27238721784776,0.010916957403166963,hu4,tw,hf3,hf3,True,1.1424365665626524,1.1469167099609374,8,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.8857204745329295,0.09902447692489626,4.246479858398438,10.163438063964843,1.1469167099609374,3.5517913712527553,0.09051456093916298,3.9810748672485348,8.257793426971435
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hu1,delta,C0,C0,True,0.04090615434361709,0.044996769777978805,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,2.578125,180.0,1.125,2.7590624999999998,0.07031249999999999,2.578125,8.4375
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hu1,delta_dot,C0,C0,True,0.1349903093339364,0.14726215563702155,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,8.4375,1.125,2.7590624999999998,0.07031249999999999,2.578125,8.4375
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hu1,tdot,C0,C0,True,2.6057812499999997,2.7590624999999998,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,2.0,2.7590624999999998,0.07031249999999999,59.99999999999999,180.0,1.125,2.7590624999999998,0.07031249999999999,2.578125,8.4375
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hu1,tw,C0,C0,True,1.1171875,1.125,8,2.0,39.24,1.0,59.99999999999999,180.0,2.0,39.24,1.0,59.99999999999999,180.0,1.125,39.24,1.0,59.99999999999999,180.0,1.125,2.7590624999999998,0.07031249999999999,2.578125,8.4375
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hu2,delta,hf1,hf1,True,0.0891626332958529,0.09213472107238133,5,1.16875,4.583109375,0.116796875,5.449218750000001,17.015625,1.16875,4.583109375,0.116796875,5.449218750000001,17.015625,1.16875,4.583109375,0.116796875,5.2789306640625,17.015625,1.15048828125,4.063929016113281,0.10356597900390624,5.2789306640625,10.900634765625
1,-1.3085482316874741,0.0,0.4069077929981455,0.287382947850751,4.763205750057398,0.813815585996291,0.11693836105525024,21.863459033215445,-2.885780674368519,-44.36422095610395,68.97443085382162,1.1793633639665932,-0.7097179567303478,78.25825358138152,-0.025908058793026226,hu2,delta_dot,hf1,hf1,True,0.1856116753341626,0.19025196721751664,6,1.16875,4.583109375,0.116796875,5.449218750000001,17.015625,1.16875,4.583109375,0.116796875,5.449218750000001,17.015625,1.16875,4.583109375,0.116796875,5.449218750000001,10.900634765625,1.15048828125,4.063929016113281,0.10356597900390624,5.2789306640625,10.900634765625
