family,method,mode,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
weight_method,scenario_median_k,raw,80,1.0,0.9287842101314162,0.0,8,11,16,1.9411764705882353,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
weight_method,scenario_median_k,raw,20,2.0,0.969431658011816,4.376414611381962,3,6,9,3.235294117647059,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
weight_method,scenario_median_k,raw,15,3.0,0.9726680702961661,4.724871470256864,1,5,10,3.2941176470588234,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
weight_method,scenario_median_k,raw,40,4.0,0.9845799398927295,6.00739430673769,2,6,8,3.4705882352941178,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
weight_method,scenario_median_k,raw,10,5.0,0.9848164519394912,6.032858999632085,3,6,8,3.3529411764705883,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
weight_method,scenario_median_k,raw,5,6.0,1.177597949124163,26.78918701229229,0,0,0,5.705882352941177,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
weight_method,scenario_mean_k,raw,80,1.0,0.9047263549219865,0.0,8,11,16,1.9411764705882353,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
weight_method,scenario_mean_k,raw,15,2.0,0.9613850053546283,6.262517956330282,1,4,10,3.3529411764705883,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
weight_method,scenario_mean_k,raw,20,3.0,0.9624069932696491,6.375478953814295,3,5,8,3.2941176470588234,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
weight_method,scenario_mean_k,raw,10,4.0,0.9735724022027868,7.609598958431674,3,7,8,3.2941176470588234,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
weight_method,scenario_mean_k,raw,40,5.0,0.9751253009629989,7.781241881373369,2,7,9,3.2941176470588234,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
weight_method,scenario_mean_k,raw,5,6.0,1.2583398913846684,39.085137128913814,0,0,0,5.823529411764706,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
weight_method,scenario_trimmed_k,raw,80,1.0,0.9108190362182219,0.0,8,11,16,1.9411764705882353,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
weight_method,scenario_trimmed_k,raw,15,2.0,0.9638328449441844,5.820454625770588,1,4,10,3.3529411764705883,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
weight_method,scenario_trimmed_k,raw,20,3.0,0.9645825301508011,5.90276353421515,3,6,8,3.235294117647059,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
weight_method,scenario_trimmed_k,raw,10,4.0,0.9750796956585497,7.0552609118867515,3,7,8,3.2941176470588234,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
weight_method,scenario_trimmed_k,raw,40,5.0,0.9759793955229935,7.154040123636585,2,6,9,3.3529411764705883,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
weight_method,scenario_trimmed_k,raw,5,6.0,1.240926402967509,36.24291474186943,0,0,0,5.823529411764706,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
weight_method,all_permutation_median_k,raw,80,1.0,0.9315994604664579,0.0,8,11,17,1.8823529411764706,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
weight_method,all_permutation_median_k,raw,20,2.0,0.9702647248550387,4.150417215701352,3,6,8,3.2941176470588234,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
weight_method,all_permutation_median_k,raw,15,3.0,0.9744671140681286,4.601511209571396,2,6,9,3.235294117647059,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
weight_method,all_permutation_median_k,raw,40,4.0,0.9866700638058661,5.911403524411019,2,6,8,3.4705882352941178,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
