mode,candidate_family,common_N,frequency_hz,rank,score,gap_vs_best_pct,win_count,top3_count,avg_rank
c0x09,closest,17,5,6.0,1.1719136925956886,25.91013525304584,0,0,5.705882352941177
c0x09,closest,17,10,4.0,0.9848481504241827,5.811856800620063,3,8,3.411764705882353
c0x09,closest,17,15,3.0,0.973827753877539,4.627827952337937,1,10,3.235294117647059
c0x09,closest,17,20,2.0,0.9705379763254725,4.274375015359566,3,9,3.235294117647059
c0x09,closest,17,40,5.0,0.9849302552276044,5.820678121651679,3,8,3.411764705882353
c0x09,closest,17,80,1.0,0.9307540574398194,0.0,7,16,2.0
c0x09,sparse,17,5,6.0,1.1750390679337945,25.969099318190846,0,0,5.705882352941177
c0x09,sparse,17,10,5.0,0.9840366807636044,5.492845093076992,3,8,3.411764705882353
c0x09,sparse,17,15,3.0,0.9722521734235873,4.229496651275033,1,10,3.235294117647059
c0x09,sparse,17,20,2.0,0.9701684649914373,4.006114398205618,3,8,3.2941176470588234
c0x09,sparse,17,40,4.0,0.9829287712061023,5.374072557854004,3,9,3.3529411764705883
c0x09,sparse,17,80,1.0,0.9327994518447036,0.0,7,16,2.0
c0x09,balanced,17,5,6.0,1.1702318367330045,25.700277617085643,0,0,5.705882352941177
c0x09,balanced,17,10,4.0,0.9852162265105491,5.826853532689236,3,8,3.411764705882353
c0x09,balanced,17,15,3.0,0.9743142671028989,4.655821194398402,1,10,3.2941176470588234
c0x09,balanced,17,20,2.0,0.9702013969036387,4.2140378574372805,3,9,3.176470588235294
c0x09,balanced,17,40,5.0,0.9855982072844874,5.867883940358265,3,8,3.411764705882353
c0x09,balanced,17,80,1.0,0.9309699699294397,0.0,7,16,2.0
c0x09,low_total,17,5,6.0,1.1729868318614112,25.839038954535965,0,0,5.705882352941177
c0x09,low_total,17,10,5.0,0.9844913294475846,5.617078889249494,3,8,3.411764705882353
c0x09,low_total,17,15,3.0,0.9740298915455387,4.494766808740525,1,10,3.2941176470588234
c0x09,low_total,17,20,2.0,0.9697828297019747,4.039138351320881,3,8,3.2941176470588234
c0x09,low_total,17,40,4.0,0.9834911323065103,5.509776877343597,3,9,3.3529411764705883
c0x09,low_total,17,80,1.0,0.9321327003182186,0.0,7,16,1.9411764705882353
c0x09,best_reclaim,17,5,6.0,1.1814207860842407,27.18577313723496,0,0,5.882352941176471
c0x09,best_reclaim,17,10,4.0,0.9824834038626461,5.769182992741784,2,8,3.235294117647059
c0x09,best_reclaim,17,15,3.0,0.9743423303778499,4.892756288956823,0,11,3.411764705882353
c0x09,best_reclaim,17,20,2.0,0.967339858134706,4.138905623210376,3,8,3.235294117647059
c0x09,best_reclaim,17,40,5.0,0.9840415636141331,5.936926573181922,2,8,3.4705882352941178
c0x09,best_reclaim,17,80,1.0,0.9288938196015633,0.0,10,16,1.7647058823529411
