mode,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
c0x09,10,1.0,0.9526457122231712,0.0,6,8,11,3.05,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
c0x09,80,2.0,0.9637269386254412,1.1632054036552653,7,11,16,2.5,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
c0x09,15,3.0,0.9656106007230825,1.3609349555203876,1,8,13,3.1,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
c0x09,20,4.0,0.9714338260638725,1.9722036849203706,3,7,11,3.2,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
c0x09,40,5.0,1.004909040377121,5.486124325483388,3,6,8,3.6,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
c0x09,5,6.0,1.1555070089120705,21.294516322913548,0,0,1,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
