mode,family,method,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
c0x11,coupling,lambda_0,10,1.0,0.9538301357682298,0.0,6,8,11,3.05,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
c0x11,coupling,lambda_0,80,2.0,0.95816914639264,0.4549039144077227,7,11,16,2.45,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
c0x11,coupling,lambda_0,15,3.0,0.9665174459677034,1.330143567885389,1,8,13,3.1,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
c0x11,coupling,lambda_0,20,4.0,0.9723238805322629,1.9388928982766895,3,7,11,3.2,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
c0x11,coupling,lambda_0,40,5.0,1.007047788535464,5.579363743248877,3,6,8,3.7,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
c0x11,coupling,lambda_0,5,6.0,1.1561549640562536,21.21183014678689,0,0,1,5.5,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
c0x11,coupling,lambda_0.5,10,1.0,0.9535908054470663,0.0,6,8,11,3.05,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
c0x11,coupling,lambda_0.5,80,2.0,0.9581114237808005,0.47406270151848506,7,11,16,2.45,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
c0x11,coupling,lambda_0.5,15,3.0,0.9660390423775093,1.30540656006084,1,8,13,3.1,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
c0x11,coupling,lambda_0.5,20,4.0,0.9720058529214503,1.9311267861638504,3,7,11,3.2,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
c0x11,coupling,lambda_0.5,40,5.0,1.0068966799296453,5.590015568322082,3,6,8,3.7,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
c0x11,coupling,lambda_0.5,5,6.0,1.1576398253602231,21.397964278555914,0,0,1,5.5,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
c0x11,coupling,lambda_1,10,1.0,0.9534055724315287,0.0,6,8,11,3.05,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
c0x11,coupling,lambda_1,80,2.0,0.9580667410080118,0.48889672047913724,8,11,16,2.4,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
c0x11,coupling,lambda_1,15,3.0,0.9656688554804014,1.2862608949931964,1,8,13,3.1,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
c0x11,coupling,lambda_1,20,4.0,0.9717597276836591,1.9251151642968312,3,7,11,3.2,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
c0x11,coupling,lambda_1,40,5.0,1.0067797168653398,5.598262269192311,2,6,8,3.75,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
c0x11,coupling,lambda_1,5,6.0,1.1587906196270696,21.54225369920326,0,0,1,5.5,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
