mode,family,method,frequency_hz,rank,value,gap_vs_best_pct
c0x09,aggregation,geomean,5,6.0,1.1555070089120705,21.294516322913548
c0x09,aggregation,geomean,10,1.0,0.9526457122231712,0.0
c0x09,aggregation,geomean,15,3.0,0.9656106007230825,1.3609349555203876
c0x09,aggregation,geomean,20,4.0,0.9714338260638725,1.9722036849203706
c0x09,aggregation,geomean,40,5.0,1.004909040377121,5.486124325483388
c0x09,aggregation,geomean,80,2.0,0.9637269386254412,1.1632054036552653
c0x09,aggregation,median,5,6.0,1.150436054609355,21.901825529879027
c0x09,aggregation,median,10,3.0,0.9734133358989225,3.1442487966015342
c0x09,aggregation,median,15,2.0,0.9720223870236071,2.9968618936612623
c0x09,aggregation,median,20,4.0,0.9868408756482396,4.567049830399594
c0x09,aggregation,median,40,5.0,1.0007837844992813,6.0444601004696175
c0x09,aggregation,median,80,1.0,0.943739808332382,0.0
c0x09,aggregation,arithmetic_mean,5,6.0,1.1618314591369725,21.343346725899348
c0x09,aggregation,arithmetic_mean,10,1.0,0.9574743819794389,0.0
c0x09,aggregation,arithmetic_mean,15,2.0,0.9681344310452585,1.1133508390878788
c0x09,aggregation,arithmetic_mean,20,4.0,0.9734797981709011,1.6716286610586328
c0x09,aggregation,arithmetic_mean,40,5.0,1.0104538724011858,5.533254092106299
c0x09,aggregation,arithmetic_mean,80,3.0,0.9690585052891294,1.2098624806798464
c0x09,aggregation,trimmed_log_geomean,5,6.0,1.1486553589972905,21.404785805976513
c0x09,aggregation,trimmed_log_geomean,10,2.0,0.9601533468342603,1.4814500278493181
c0x09,aggregation,trimmed_log_geomean,15,3.0,0.9705083507268597,2.5759010481261946
c0x09,aggregation,trimmed_log_geomean,20,4.0,0.9715920860100662,2.6904442389078964
c0x09,aggregation,trimmed_log_geomean,40,5.0,0.9920550766769303,4.853238308861996
c0x09,aggregation,trimmed_log_geomean,80,1.0,0.9461368029041443,0.0
c0x09,aggregation,avg_rank,5,6.0,5.55,
c0x09,aggregation,avg_rank,10,2.0,3.05,
c0x09,aggregation,avg_rank,15,3.0,3.1,
c0x09,aggregation,avg_rank,20,4.0,3.2,
c0x09,aggregation,avg_rank,40,5.0,3.6,
c0x09,aggregation,avg_rank,80,1.0,2.5,
