family,method,mode,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
weight_method,scenario_median_k,c0x11,10,1.0,0.9538301357682298,0.0,6,8,11,3.05,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
weight_method,scenario_median_k,c0x11,80,2.0,0.95816914639264,0.4549039144077227,7,11,16,2.45,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
weight_method,scenario_median_k,c0x11,15,3.0,0.9665174459677034,1.330143567885389,1,8,13,3.1,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
weight_method,scenario_median_k,c0x11,20,4.0,0.9723238805322629,1.9388928982766895,3,7,11,3.2,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
weight_method,scenario_median_k,c0x11,40,5.0,1.007047788535464,5.579363743248877,3,6,8,3.7,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
weight_method,scenario_median_k,c0x11,5,6.0,1.1561549640562536,21.21183014678689,0,0,1,5.5,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
weight_method,scenario_mean_k,c0x11,10,1.0,0.9282708961331119,0.0,6,10,11,2.95,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
weight_method,scenario_mean_k,c0x11,15,2.0,0.9499004204356347,2.330087519992796,1,6,12,3.2,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
weight_method,scenario_mean_k,c0x11,80,3.0,0.9533839425598847,2.7053575127030216,8,11,16,2.45,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
weight_method,scenario_mean_k,c0x11,20,4.0,0.9619979459041812,3.633319746591823,3,6,10,3.3,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
weight_method,scenario_mean_k,c0x11,40,5.0,1.0063937106397072,8.415950002529504,2,7,9,3.55,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
weight_method,scenario_mean_k,c0x11,5,6.0,1.2286757703482365,32.36176804276833,0,0,2,5.55,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
weight_method,scenario_trimmed_k,c0x11,10,1.0,0.9321567955430842,0.0,6,10,11,2.95,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
weight_method,scenario_trimmed_k,c0x11,15,2.0,0.9532466833299248,2.262482866367277,1,6,12,3.25,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
weight_method,scenario_trimmed_k,c0x11,80,3.0,0.9560132568794283,2.5592755908028453,8,11,16,2.45,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
weight_method,scenario_trimmed_k,c0x11,20,4.0,0.964027633183409,3.4190425680216796,3,7,10,3.2,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
weight_method,scenario_trimmed_k,c0x11,40,5.0,1.0061201671219082,7.934649184822207,2,6,9,3.6,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
weight_method,scenario_trimmed_k,c0x11,5,6.0,1.2136751934678998,30.20075584610207,0,0,2,5.55,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
weight_method,all_permutation_median_k,c0x11,80,1.0,0.9563022776235561,0.0,8,11,17,2.35,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
