mode,candidate_family,common_N,frequency_hz,rank,score,gap_vs_best_pct,win_count,top3_count,avg_rank
raw,closest,17,5,6.0,1.177597949124163,26.78918701229229,0,0,5.705882352941177
raw,closest,17,10,5.0,0.9848164519394912,6.032858999632085,3,8,3.3529411764705883
raw,closest,17,15,3.0,0.9726680702961661,4.724871470256864,1,10,3.2941176470588234
raw,closest,17,20,2.0,0.969431658011816,4.376414611381962,3,9,3.235294117647059
raw,closest,17,40,4.0,0.9845799398927295,6.00739430673769,2,8,3.4705882352941178
raw,closest,17,80,1.0,0.9287842101314162,0.0,8,16,1.9411764705882353
raw,sparse,17,5,6.0,1.1808562155114937,26.834286526077754,0,0,5.764705882352941
raw,sparse,17,10,5.0,0.9839826727692281,5.6883459775406875,3,8,3.3529411764705883
raw,sparse,17,15,3.0,0.9711282428276549,4.307667763781442,1,11,3.235294117647059
raw,sparse,17,20,2.0,0.968909365416478,4.069340921242404,3,8,3.2941176470588234
raw,sparse,17,40,4.0,0.9824160321357426,5.520075070057806,2,8,3.411764705882353
raw,sparse,17,80,1.0,0.9310228707508863,0.0,8,16,1.9411764705882353
raw,balanced,17,5,6.0,1.1758655767619135,26.58281348730678,0,0,5.705882352941177
raw,balanced,17,10,4.0,0.9852507596033024,6.06298509437897,2,8,3.4705882352941178
raw,balanced,17,15,3.0,0.9732062438682653,4.7663839190714485,2,10,3.235294117647059
raw,balanced,17,20,2.0,0.9690515680766253,4.319129946145717,3,9,3.176470588235294
raw,balanced,17,40,5.0,0.9852826546064033,6.066418615445057,3,8,3.411764705882353
raw,balanced,17,80,1.0,0.9289298794735864,0.0,7,16,2.0
raw,low_total,17,5,6.0,1.1786627246135823,26.70355977234824,0,0,5.705882352941177
raw,low_total,17,10,5.0,0.9843831997543516,5.818953110493252,3,8,3.3529411764705883
raw,low_total,17,15,3.0,0.9729702686379679,4.592088996031252,1,10,3.411764705882353
raw,low_total,17,20,2.0,0.9686988196328575,4.132917951565607,3,8,3.2941176470588234
raw,low_total,17,40,4.0,0.9830083009295796,5.671154616668361,2,9,3.3529411764705883
raw,low_total,17,80,1.0,0.9302522571041556,0.0,8,16,1.8823529411764706
raw,best_reclaim,17,5,6.0,1.1872904651053735,28.095171022852995,0,0,5.882352941176471
raw,best_reclaim,17,10,4.0,0.982397441044338,5.989538298717112,2,8,3.2941176470588234
raw,best_reclaim,17,15,3.0,0.9734405079318726,5.023186834941407,0,11,3.3529411764705883
raw,best_reclaim,17,20,2.0,0.9661369599945809,4.235216873422387,3,8,3.2941176470588234
raw,best_reclaim,17,40,5.0,0.9835206073187894,6.110715197076333,2,8,3.411764705882353
raw,best_reclaim,17,80,1.0,0.9268815175659926,0.0,10,16,1.7647058823529411
