family,method,mode,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
weight_method,scenario_median_k,c0x09,10,1.0,0.9526457122231712,0.0,6,8,11,3.05,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
weight_method,scenario_median_k,c0x09,80,2.0,0.9637269386254412,1.1632054036552653,7,11,16,2.5,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
weight_method,scenario_median_k,c0x09,15,3.0,0.9656106007230825,1.3609349555203876,1,8,13,3.1,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
weight_method,scenario_median_k,c0x09,20,4.0,0.9714338260638725,1.9722036849203706,3,7,11,3.2,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
weight_method,scenario_median_k,c0x09,40,5.0,1.004909040377121,5.486124325483388,3,6,8,3.6,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
weight_method,scenario_median_k,c0x09,5,6.0,1.1555070089120705,21.294516322913548,0,0,1,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
weight_method,scenario_mean_k,c0x09,10,1.0,0.9274831267553828,0.0,6,10,11,2.95,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
weight_method,scenario_mean_k,c0x09,15,2.0,0.949225532181227,2.3442373018585982,1,6,12,3.2,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
weight_method,scenario_mean_k,c0x09,80,3.0,0.9538611384567514,2.8440422192527404,8,11,16,2.5,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
weight_method,scenario_mean_k,c0x09,20,4.0,0.9613126386525928,3.6474530825758356,3,6,10,3.3,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
weight_method,scenario_mean_k,c0x09,40,5.0,1.0088455926339042,8.772393106832244,2,7,9,3.5,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
weight_method,scenario_mean_k,c0x09,5,6.0,1.2278634239613424,32.38660505412976,0,0,2,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
weight_method,scenario_trimmed_k,c0x09,10,1.0,0.9315842787684893,0.0,6,10,11,2.9,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
weight_method,scenario_trimmed_k,c0x09,15,2.0,0.9530963175827262,2.3091886911911885,1,6,12,3.25,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
weight_method,scenario_trimmed_k,c0x09,80,3.0,0.957160752869341,2.7454815075521166,8,11,16,2.5,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
weight_method,scenario_trimmed_k,c0x09,20,4.0,0.9637340858076385,3.4510894797033176,3,7,10,3.2,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
weight_method,scenario_trimmed_k,c0x09,40,5.0,1.0076311046255588,8.163171877224018,2,6,9,3.6,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
weight_method,scenario_trimmed_k,c0x09,5,6.0,1.2117063673024724,30.069430637482576,0,0,2,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
weight_method,all_permutation_median_k,c0x09,10,1.0,0.9566015332580413,0.0,5,8,11,3.1,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
weight_method,all_permutation_median_k,c0x09,80,2.0,0.9628147781884128,0.6495123323929874,8,11,17,2.4,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
weight_method,all_permutation_median_k,c0x09,15,3.0,0.9668448348250103,1.070801290907597,2,8,12,3.1,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
weight_method,all_permutation_median_k,c0x09,20,4.0,0.9721952610565983,1.6301173745192576,3,7,10,3.25,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
weight_method,all_permutation_median_k,c0x09,40,5.0,1.005241805692358,5.084695219822111,2,6,8,3.65,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
weight_method,all_permutation_median_k,c0x09,5,6.0,1.1490670121171993,20.119712562413472,0,0,2,5.5,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
weight_method,all_permutation_mean_k,c0x09,10,1.0,0.9274831267553828,0.0,6,10,11,2.95,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
