mode,method,metric,metric_key,kappa,OCP_reduction_pct,num_k_values,num_groups,weight
c0x09,scenario_median_k,Tw,tw,0.89453125,10.546875,2880,120,0.6595265952659527
c0x09,scenario_median_k,Tdot,tdot,0.1024169921875,89.75830078125,2880,120,0.07551075510755108
c0x09,scenario_median_k,delta,delta,0.234375,76.5625,2880,120,0.17280172801728017
c0x09,scenario_median_k,delta_dot,delta_dot,0.125,87.5,2880,120,0.09216092160921609
