scenario,5 Hz,10 Hz,15 Hz,20 Hz,40 Hz,80 Hz
s00,1.1336215306910966,1.0114659190539181,0.9677718720688229,0.9878352539271394,0.9890514592615874,0.9223680598115476
s02,1.0663066374634755,0.982045324187232,0.9961314994275716,0.9928084275400575,0.9968841466919829,0.9686336164998108
s04,1.4277331320710664,0.9447497051274817,0.8969315969826769,1.1467926166270839,0.857663421205444,0.8403788177953911
s05,1.1822146305998351,1.0178346877189826,0.9892096520241062,0.9547047209640325,0.9104156369339911,0.9665610697055854
s06,1.269479948001032,0.9747078030547216,0.9709053705715666,0.9322106421065252,0.9787937620840959,0.9122577445115028
s07,1.3803348832493023,1.0833297397019763,0.8697818128474465,0.8353350432693173,1.025236539987395,0.8977590078638416
s08,1.187841810855228,0.9771840039000977,0.9965033493678699,0.897796308419386,1.0229626503485112,0.9413447123663785
s09,1.4275966975193082,0.846464565385915,1.0476032521729997,0.9409523032039233,0.8918843933823136,0.9412666485933017
s10,1.1538615600784246,0.9270979378340751,1.0699957370545028,0.8821995687111521,1.0322306633263707,0.9593896632027664
s11,1.2123880033274763,1.1125679650690001,0.9157766765586797,0.9823908877015035,0.8945072173547696,0.9212427133903915
s12,1.0075610496903495,0.9606486217276886,1.0101199407184507,1.0261987209397603,1.0056832048497584,0.9910565926504478
s13,1.0979688020925282,0.8822481165753052,0.876293222206654,0.9930416108336204,1.3458271105139112,0.8814812684463601
s14,1.1929411907409662,0.9904370910915482,1.0774494008363573,0.9240854751563147,0.9353773456989878,0.9087788145460048
s15,1.1853661042829422,1.1061081399425765,0.9629061627591837,0.9720061189952666,0.9033653827145076,0.9020559965115069
s16,1.0558501319714695,1.0333593585834835,0.9842612934960279,1.0080711288700641,0.9717120112676886,0.950620531718428
s17,1.0145265148877405,0.971235714206305,0.971497385934176,1.041976401668932,1.019561242751054,0.9833296094004377
s18,1.1331508999726678,0.9614683742584414,0.9622150203572432,1.002277461590977,1.0412395884762065,0.9140426908650574
