Frequency,Tw,Tdot,delta,delta_dot
5,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
10,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
15,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
20,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
40,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
80,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
