scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,frequency_hz,direction,subset,cardinality,entry_param,permutation,best_permutation,family_permutation,outside_permutation,cleanup_mode,reclaim_score,l1_sum,l2_sq,linf,active_count,slack_tw,slack_tdot,slack_delta,slack_delta_dot,return_status,failure_mode,solver_success_count,retry_count,avg_solve_ms,max_solve_ms,touch_time_s,steps_simulated,final_rel_x,final_rel_z,final_rel_vx,final_rel_vz,usage_T,usage_T_dot,usage_delta,usage_delta_dot,utopia_tw_ratio,utopia_T_dot_max,utopia_T_dot_weight_per_sec,utopia_delta_max_deg,utopia_delta_dot_max_deg_s,cap_tw_ratio,cap_T_dot_max,cap_T_dot_weight_per_sec,cap_delta_max_deg,cap_delta_dot_max_deg_s,candidate_tw_ratio,candidate_T_dot_max,candidate_T_dot_weight_per_sec,candidate_delta_max_deg,candidate_delta_dot_max_deg_s
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,delta+delta_dot,2,0.6171875,delta -> delta_dot,delta -> delta_dot,delta -> delta_dot,,family_only,0.6388854980468749,0.5954895019531249,0.35460774693638075,0.5954895019531249,1,0.0,0.0,0.0,0.5954895019531249,Solve_Succeeded,none,766,3,129.3727673940341,1277.9990509152412,19.150000000000002,766,0.10034392787754953,0.0963532530313968,0.056997121438493004,-0.427052472404991,1.0000000099222717,1.0000000044548625,1.000000098656567,1.0000000085242897,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,61.81029167711296
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,delta+delta_dot,2,0.6171875,delta_dot -> delta,delta_dot -> delta,delta_dot -> delta,,family_only,0.6171874999999999,0.6171874999999999,0.3809204101562499,0.6171874999999999,1,0.0,0.0,0.6171874999999999,0.0,Solve_Succeeded,none,767,12,143.29646915352797,3008.0278888344765,19.175,767,0.10473286860558773,0.0922894402424809,0.04989400850803327,-0.4182035774395336,1.000000009910278,1.0000000041867099,1.0000000056540952,1.0000000170136507,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,11.97486218563866,0.30516978046989446,8.856436376953125,31.02174878631592
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta,2,1.0,delta -> tdot,delta -> tdot,delta -> tdot,,family_only,0.0234375,1.9765625,1.95367431640625,1.0,2,0.0,1.0,0.9765625,0.0,Solve_Succeeded,none,767,12,138.4599797204234,873.0148449540138,19.175,767,0.10146677251326963,0.09212519022639915,0.046546576315313226,-0.42506783672741244,1.000000009965034,1.0000000035707928,0.8725509659743079,1.0000000170246033,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,13.746926993378908,0.35032943408203127,10.824533349609375,31.02174878631592
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta,2,1.0,tdot -> delta,tdot -> delta,tdot -> delta,,family_only,0.8281250000000002,1.1718749999999998,0.7072753906249998,0.6875,2,0.0,0.48437499999999983,0.6875,0.0,Solve_Succeeded,none,767,4,140.60214050162725,1214.0789106488228,19.175,767,0.10288991443351847,0.09170892855913029,0.04909338451299772,-0.4208881578878264,1.000000009945186,1.0000000040852104,1.0000000004786047,1.0000000170179568,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,12.833206076887842,0.32704398768827325,9.241498828125,31.02174878631592
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta+delta_dot,3,0.52734375,delta -> delta_dot -> tdot,delta -> delta_dot -> tdot,delta -> delta_dot -> tdot,,family_only,0.9362411499023438,0.6457901000976564,0.18936428386950876,0.3656387329101564,3,0.0,0.049438476562499924,0.23071289062500003,0.3656387329101564,Solve_Succeeded,none,766,7,132.83848335514182,1029.0891751646996,19.150000000000002,766,0.09987930696393832,0.09191789792326019,0.05734918658962784,-0.41777266540125124,1.0000000124038773,1.0000000046428812,1.0000000829595341,1.0000000100887212,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,12.062470370103357,0.30740240494656873,6.739929917907715,49.92633698445881
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta+delta_dot,3,0.52734375,delta -> tdot -> delta_dot,delta -> tdot -> delta_dot,delta -> tdot -> delta_dot,,family_only,0.7673263549804688,0.8147048950195314,0.23616830731043598,0.37078857421874994,3,0.0,0.37078857421874994,0.23071289062500003,0.21320343017578136,Solve_Succeeded,none,766,8,134.2754145165025,912.9873514175415,19.150000000000002,766,0.10056107138933612,0.09586337363583294,0.056338202043150654,-0.4290173469235934,1.0000000098275206,1.0000000043051975,1.0000000822023751,1.000000012277128,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,12.63192356912389,0.3219144640449513,6.739929917907715,42.04498753847248
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta+delta_dot,3,0.52734375,delta_dot -> delta -> tdot,delta_dot -> delta -> tdot,delta_dot -> delta -> tdot,,family_only,0.5129241943359373,1.0691070556640627,0.4682990780565889,0.48614501953125017,3,0.0,0.11535644531250017,0.46760559082031244,0.48614501953125017,Solve_Succeeded,none,765,4,128.3209802181113,912.2861176729202,19.125,765,0.09757349053654352,0.09598235990975829,0.06591222293794541,-0.4274453033746455,1.0000000099247348,1.0000000048671271,1.000000063189072,1.0000000087481686,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,12.179281282722954,0.31037923758213437,8.037259465312957,56.15686323567773
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta+delta_dot,3,0.52734375,delta_dot -> tdot -> delta,delta_dot -> tdot -> delta,delta_dot -> tdot -> delta,,family_only,0.5870819091796873,0.9949493408203127,0.49521881737746326,0.5088043212890626,2,0.0,0.0,0.5088043212890626,0.48614501953125017,Solve_Succeeded,none,765,5,132.75852788702335,700.2100721001625,19.125,765,0.09756268957334413,0.09547553762098215,0.0663533462781658,-0.42515056311869104,1.0000000099249842,1.0000000048415567,1.000000060833795,1.0000000087340937,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,11.97486218563866,0.30516978046989446,8.262881995296478,56.15686323567773
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta+delta_dot,3,0.52734375,tdot -> delta -> delta_dot,tdot -> delta -> delta_dot,tdot -> delta -> delta_dot,,family_only,0.8528137207031248,0.7292175292968752,0.2830646233633162,0.4573059082031251,2,0.0,0.2719116210937501,0.0,0.4573059082031251,Solve_Succeeded,none,766,5,132.80908137987862,936.4840015769005,19.150000000000002,766,0.1004267552906235,0.09783165340975095,0.05753161147694663,-0.43257724542153264,1.0000000099066644,1.0000000042848198,1.0000001027355399,1.0000000091252597,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,12.456707200194495,0.31744921509160284,5.4764437500000005,54.66579712427491
3,-1.4779131907469836,0.0,0.3967310943755346,0.29302464562064545,4.430684746116719,0.7934621887510692,0.11625198833608187,21.442514822844977,-4.167518823424425,-31.578129069340964,51.062052143841896,0.20622358785868133,-2.178466904306388,80.59207160745413,-0.03920998038747756,40.0,bottom_up,tdot+delta+delta_dot,3,0.52734375,tdot -> delta_dot -> delta,tdot -> delta_dot -> delta,tdot -> delta_dot -> delta,,family_only,0.43876647949218717,1.143264770507813,0.4567911440972241,0.4758453369140626,3,0.0,0.2719116210937501,0.4758453369140626,0.3955078125000001,Solve_Succeeded,none,765,0,128.91437045109816,694.828636944294,19.125,765,0.09755260592380566,0.09820375224070302,0.06620995861338308,-0.43342794003233553,1.0000000099439694,1.0000000046151936,1.0000000683432837,1.0000000097771222,1.180565859375,11.97486218563866,0.30516978046989446,5.4764437500000005,31.02174878631592,1.180565859375,13.746926993378908,0.35032943408203127,10.952887500000001,82.72466343017578,1.180565859375,12.456707200194495,0.31744921509160284,8.082383971309662,51.47065545698316
